n,nb_hat,r1_radius,r1_nb_lo,r1_nb_hi,r2_nb_lo,r2_nb_hi,succ_diff_hat,r1_sd_lo,r1_sd_hi,r2_sd_lo,r2_sd_hi,r2_wr_lo,r2_wr_hi
202,-0.49504950495049505,0.22918225035908515,-0.7242317553095802,-0.2658672545914099,-0.6772839488959548,-0.27325122441985816,-0.009900990099009901,-0.23908324045809506,0.21928126026007524,-0.17228152551273312,0.1528075582320147,0.166018607112973,0.5490891796071427
203,-0.4975369458128079,0.22848373081336532,-0.7260206766261732,-0.26905321499944257,-0.6789712723840047,-0.27652613987476365,-0.009852216748768473,-0.23833594756213378,0.21863151406459685,-0.1714607476454063,0.1520771597112928,0.1649491230919456,0.5450185656854758
204,-0.49019607843137253,0.22779142809333558,-0.7179875065247081,-0.26240465033803695,-0.672513767784717,-0.26899258880054255,-0.004901960784313725,-0.23269338887764932,0.22288946730902184,-0.16666868745404134,0.1570264984871827,0.16968532242043524,0.5547892429123289
205,-0.4926829268292683,0.2271052541850346,-0.7197881810143029,-0.2655776726442337,-0.6742095743737568,-0.27225470106776173,-0.004878048780487805,-0.23198330296552241,0.2222272054045468,-0.16588160061254734,0.1562837445154423,0.16859988804306275,0.5507040738940451
206,-0.49029126213592233,0.22642512276002863,-0.716716384895951,-0.2638661393758937,-0.6712799363055277,-0.2708926468508915,-0.0048543689320388345,-0.23127949169206746,0.2215707538279898,-0.16510192297616047,0.15554800405375008,0.16859988804306275,0.5507040738940451
207,-0.4927536231884058,0.2257509491349597,-0.7185045723233655,-0.26700267405344613,-0.6729657485865165,-0.2741160572007083,-0.00966183574879227,-0.23541278488375195,0.21608911338616743,-0.16988687490783455,0.1508752179606525,0.16752829481112563,0.5466782599506483
208,-0.4951923076923077,0.2250826502322572,-0.7202749579245649,-0.2701096574600505,-0.6746342829786813,-0.2773114065997876,-0.009615384615384616,-0.23469803484764182,0.2154672656168726,-0.16909652676146764,0.15017107286705417,0.16647026657832628,0.542710507140876
209,-0.4880382775119617,0.2244201445419734,-0.7124584220539352,-0.2636181329699883,-0.66833179682921,-0.2699670000937566,-0.004784688995215311,-0.2292048335371887,0.2196354555467581,-0.16442093552584855,0.15500543191672508,0.17112377673155327,0.5522499643695902
210,-0.49047619047619045,0.2237633520847058,-0.7142395425608963,-0.26671283839148463,-0.6700080874420344,-0.2731501560835612,-0.004761904761904762,-0.22852525684661057,0.21900144732280102,-0.1636625499952407,0.15428934196631122,0.17005047638383236,0.5482682218343796
211,-0.4834123222748815,0.22311219437557064,-0.7065245166504521,-0.2603001278993109,-0.6637696659819208,-0.26591333859904676,0.0,-0.22311219437557064,0.22311219437557064,-0.15904612839221954,0.15904612839221954,0.17468075065097133,0.5577251628170675
