scenario,replicates,true_net_benefit,true_success_difference,true_safety_difference,boundary_gate,admissible,method,convention,deployments,deployment_rate,rate_ci_lower,rate_ci_upper,mean_runs_per_arm_used
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,guarded_allpairs_gs_pocock_retained,retained (each gate keeps its first crossing),489,0.0489,0.044843646588557176,0.053302796741467234,9742.3
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,win_only_allpairs_gs_hsd,single gate (convention-free),10000,1.0,0.9996160016293234,1.0,1000.0
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,guarded_allpairs_gs_hsd_simultaneous,simultaneous (same-look conjunction; paper convention),492,0.0492,0.045131271500572244,0.05361494143042977,9893.3
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,guarded_allpairs_gs_hsd_retained,retained (each gate keeps its first crossing),496,0.0496,0.04551483891184551,0.054031066820459946,9890.1
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,win_only_allpairs_asympcs_projection_gaussian,single gate (convention-free),10000,1.0,0.9996160016293234,1.0,101.805
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,guarded_allpairs_asympcs_projection_gaussian_simultaneous,simultaneous (same-look conjunction; paper convention),189,0.0189,0.01640994618236014,0.021759537049904878,9855.875
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,guarded_allpairs_asympcs_projection_gaussian_retained,retained (each gate keeps its first crossing),257,0.0257,0.02277595874247574,0.028988302111948076,9794.02
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,win_only_disjoint_gs_obf,single gate (convention-free),10000,1.0,0.9996160016293234,1.0,1000.0
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,guarded_disjoint_gs_obf_simultaneous,simultaneous (same-look conjunction; paper convention),510,0.051,0.046857920608897666,0.055486909927969896,9895.4
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,guarded_disjoint_gs_obf_retained,retained (each gate keeps its first crossing),510,0.051,0.046857920608897666,0.055486909927969896,9895.4
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,win_only_disjoint_betting,single gate (convention-free),10000,1.0,0.9996160016293234,1.0,105.31
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,guarded_disjoint_betting_simultaneous,simultaneous (same-look conjunction; paper convention),43,0.0043,0.003194074401536842,0.005786621583151935,9973.385
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,guarded_disjoint_betting_retained,retained (each gate keeps its first crossing),81,0.0081,0.006522289905863053,0.010055487691208582,9940.97
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,gate_nb_allpairs_fixed_wald,"single gate, ever rejected by n = 10000",10000,1.0,0.9996160016293234,1.0,
