n,net_benefit,success_difference,radius,nb_lo,nb_hi,success_lo,success_hi
177,-0.5536723163841808,-0.03954802259887006,0.24896327459212436,-0.8026355909763052,-0.30470904179205643,-0.28851129719099444,0.2094152519932543
178,-0.5561797752808989,-0.03932584269662921,0.24807480553287894,-0.8042545808137779,-0.30810496974801993,-0.28740064822950817,0.20874896283624972
179,-0.5586592178770949,-0.03910614525139665,0.24719544928334344,-0.8058546671604384,-0.31146376859375147,-0.2863015945347401,0.2080893040319468
180,-0.5611111111111111,-0.03888888888888889,0.24632505812297875,-0.8074361692340899,-0.31478605298813234,-0.28521394701186764,0.20743616923408986
181,-0.56353591160221,-0.04419889502762431,0.24546348755992986,-0.8089993991621398,-0.3180724240422801,-0.28966238258755417,0.20126459253230555
182,-0.5659340659340659,-0.04395604395604396,0.24461059624275996,-0.8105446621768259,-0.321323469691306,-0.2885666401988039,0.200654552286716
183,-0.5573770491803278,-0.03825136612021858,0.24376624587507204,-0.8011432950553998,-0.3136108033052558,-0.28201761199529063,0.20551487975485344
184,-0.5597826086956522,-0.03804347826086957,0.24293030113290778,-0.80271290982856,-0.3168523075627444,-0.2809737793937773,0.20488682287203822
185,-0.5513513513513514,-0.032432432432432434,0.2421026295848191,-0.7934539809361705,-0.3092487217665323,-0.27453506201725153,0.20967019715238666
186,-0.543010752688172,-0.026881720430107527,0.24128310161451144,-0.7842938543026834,-0.30172765107366056,-0.26816482204461894,0.2144013811844039
187,-0.5347593582887701,-0.0213903743315508,0.24047159034596335,-0.7752309486347334,-0.29428776794280675,-0.26186196467751416,0.21908121601441255
188,-0.5372340425531915,-0.026595744680851064,0.23966797157092973,-0.7769020141241212,-0.2975660709822618,-0.2662637162517808,0.21307222689007865
189,-0.5396825396825397,-0.031746031746031744,0.2388721236787404,-0.7785546633612801,-0.30081041600379926,-0.27061815542477213,0.20712609193270864
190,-0.531578947368421,-0.02631578947368421,0.23808392758831048,-0.7696628749567316,-0.29349501978011056,-0.2643997170619947,0.21176813811462628
191,-0.5235602094240838,-0.020942408376963352,0.23730326668228047,-0.7608634761063642,-0.2862569427418033,-0.25824567505924384,0.21636085830531712
192,-0.5260416666666666,-0.026041666666666668,0.2365300267432093,-0.762571693409876,-0.2895116399234573,-0.26257169340987596,0.21048836007654265
193,-0.5181347150259067,-0.02072538860103627,0.23576409589174532,-0.753898810917652,-0.2823706191341614,-0.2564894844927816,0.21503870729070906
