scenario,method,gate,threshold,true_value,gate_true,rejections,rejection_rate,rate_ci_lower,rate_ci_upper
weak_gain,allpairs_asympcs,nb,0.0,0.009900499999999979,True,232,0.116,0.10269607466146108,0.13077621765054118
weak_gain,allpairs_asympcs,success,-0.03,0.010000000000000009,True,2000,1.0,0.9980829527187469,0.9999999999999998
weak_gain,allpairs_asympcs,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
weak_gain,disjoint_gs_obf,nb,0.0,0.009900499999999979,True,490,0.245,0.22665152261043398,0.26432617150300497
weak_gain,disjoint_gs_obf,success,-0.03,0.010000000000000009,True,2000,1.0,0.9980829527187469,0.9999999999999998
weak_gain,disjoint_gs_obf,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
weak_gain,disjoint_betting,nb,0.0,0.009900499999999979,True,83,0.0415,0.033602383185357104,0.05115554917155182
weak_gain,disjoint_betting,success,-0.03,0.010000000000000009,True,1999,0.9995,0.9971731374967338,0.9999117322692944
weak_gain,disjoint_betting,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
tie_heavy_null,allpairs_fixed_wald,nb,0.0,-4.946168474795342e-18,False,81,0.0405,0.03270494331440327,0.05005682313706816
tie_heavy_null,allpairs_fixed_wald,success,-0.03,0.0,True,1996,0.998,0.994868648214923,0.9992219726929489
tie_heavy_null,allpairs_fixed_wald,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
tie_heavy_null,allpairs_gs_obf,nb,0.0,-4.946168474795342e-18,False,87,0.0435,0.03540128785854411,0.0533489763092398
tie_heavy_null,allpairs_gs_obf,success,-0.03,0.0,True,1996,0.998,0.994868648214923,0.9992219726929489
tie_heavy_null,allpairs_gs_obf,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
tie_heavy_null,allpairs_gs_pocock,nb,0.0,-4.946168474795342e-18,False,101,0.0505,0.04173547326167801,0.06098795224416838
tie_heavy_null,allpairs_gs_pocock,success,-0.03,0.0,True,1989,0.9945,0.9901779372483848,0.9969261029904561
tie_heavy_null,allpairs_gs_pocock,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
tie_heavy_null,allpairs_gs_hsd,nb,0.0,-4.946168474795342e-18,False,88,0.044,0.03585182041641652,0.05389652670408614
tie_heavy_null,allpairs_gs_hsd,success,-0.03,0.0,True,1995,0.9975,0.9941608466835673,0.9989316912715861
tie_heavy_null,allpairs_gs_hsd,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
tie_heavy_null,allpairs_asympcs,nb,0.0,-4.946168474795342e-18,False,40,0.02,0.014721726201265444,0.027118639188737373
tie_heavy_null,allpairs_asympcs,success,-0.03,0.0,True,1948,0.974,0.9660647268553368,0.9801179123220352
tie_heavy_null,allpairs_asympcs,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
tie_heavy_null,disjoint_gs_obf,nb,0.0,-4.946168474795342e-18,False,89,0.0445,0.03630266512840682,0.054443764944814586
tie_heavy_null,disjoint_gs_obf,success,-0.03,0.0,True,1996,0.998,0.994868648214923,0.9992219726929489
tie_heavy_null,disjoint_gs_obf,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
tie_heavy_null,disjoint_betting,nb,0.0,-4.946168474795342e-18,False,21,0.0105,0.006877887380873443,0.015998901907473176
tie_heavy_null,disjoint_betting,success,-0.03,0.0,True,1910,0.955,0.9450093040187729,0.9632461829552866
tie_heavy_null,disjoint_betting,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
tie_heavy_efficiency,allpairs_fixed_wald,nb,0.0,0.057998043733088485,True,2000,1.0,0.9980829527187469,0.9999999999999998
tie_heavy_efficiency,allpairs_fixed_wald,success,-0.03,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
tie_heavy_efficiency,allpairs_fixed_wald,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
tie_heavy_efficiency,allpairs_gs_obf,nb,0.0,0.057998043733088485,True,2000,1.0,0.9980829527187469,0.9999999999999998
tie_heavy_efficiency,allpairs_gs_obf,success,-0.03,0.0,True,1999,0.9995,0.9971731374967338,0.9999117322692944
tie_heavy_efficiency,allpairs_gs_obf,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
tie_heavy_efficiency,allpairs_gs_pocock,nb,0.0,0.057998043733088485,True,2000,1.0,0.9980829527187469,0.9999999999999998
tie_heavy_efficiency,allpairs_gs_pocock,success,-0.03,0.0,True,1997,0.9985,0.9955989674442294,0.9994897364163615
tie_heavy_efficiency,allpairs_gs_pocock,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
tie_heavy_efficiency,allpairs_gs_hsd,nb,0.0,0.057998043733088485,True,2000,1.0,0.9980829527187469,0.9999999999999998
tie_heavy_efficiency,allpairs_gs_hsd,success,-0.03,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
tie_heavy_efficiency,allpairs_gs_hsd,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
tie_heavy_efficiency,allpairs_asympcs,nb,0.0,0.057998043733088485,True,2000,1.0,0.9980829527187469,0.9999999999999998
tie_heavy_efficiency,allpairs_asympcs,success,-0.03,0.0,True,1932,0.966,0.9571215720934327,0.9730917398404393
tie_heavy_efficiency,allpairs_asympcs,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
tie_heavy_efficiency,disjoint_gs_obf,nb,0.0,0.057998043733088485,True,2000,1.0,0.9980829527187469,0.9999999999999998
tie_heavy_efficiency,disjoint_gs_obf,success,-0.03,0.0,True,1999,0.9995,0.9971731374967338,0.9999117322692944
tie_heavy_efficiency,disjoint_gs_obf,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
tie_heavy_efficiency,disjoint_betting,nb,0.0,0.057998043733088485,True,2000,1.0,0.9980829527187469,0.9999999999999998
tie_heavy_efficiency,disjoint_betting,success,-0.03,0.0,True,1875,0.9375,0.9260297152353917,0.9472928683935119
tie_heavy_efficiency,disjoint_betting,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
