scenario,method,replicates,max_runs_per_arm,true_net_benefit,true_success_difference,true_safety_difference,admissible,deployments,deployment_rate,rate_ci_lower,rate_ci_upper,mean_runs_per_arm_used,mean_runs_mcse,median_runs_among_deployments
joint_gain,guarded_allpairs_gs_hsd,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,1497.5,14.088891901068727,1000.0
joint_gain,guarded_allpairs_gs_hsd_simultaneous,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,1497.5,14.088891901068727,1000.0
joint_gain,win_only_allpairs_asympcs,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,115.45,0.6230158505206744,100.0
joint_gain,guarded_allpairs_asympcs,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,698.375,11.253246406593076,550.0
joint_gain,guarded_allpairs_asympcs_simultaneous,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,715.025,11.312338382823421,550.0
joint_gain,win_only_disjoint_gs_obf,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,1000.0,0.0,1000.0
joint_gain,guarded_disjoint_gs_obf,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,2393.0,12.09444087173938,2000.0
joint_gain,win_only_disjoint_betting,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,145.05,1.1927903210539559,150.0
joint_gain,guarded_disjoint_betting,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,1423.925,15.500505546191068,1300.0
joint_gain,guarded_disjoint_betting_simultaneous,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,1426.8,15.490267266900211,1300.0
joint_gain,win_only_disjoint_betting_simultaneous,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,145.05,1.1927903210539559,150.0
weak_gain,win_only_allpairs_fixed_wald,2000,10000,0.009900499999999979,0.010000000000000009,0.0,True,656,0.328,0.3077711179567126,0.3488883463080384,10000.0,0.0,10000.0
weak_gain,guarded_allpairs_fixed_wald,2000,10000,0.009900499999999979,0.010000000000000009,0.0,True,656,0.328,0.3077711179567126,0.3488883463080384,10000.0,0.0,10000.0
weak_gain,win_only_allpairs_gs_obf,2000,10000,0.009900499999999979,0.010000000000000009,0.0,True,634,0.317,0.29697473321910545,0.33772690608583306,9246.5,33.07368856054613,8000.0
weak_gain,guarded_allpairs_gs_obf,2000,10000,0.009900499999999979,0.010000000000000009,0.0,True,634,0.317,0.29697473321910545,0.33772690608583306,9246.5,33.07368856054613,8000.0
weak_gain,guarded_allpairs_gs_obf_simultaneous,2000,10000,0.009900499999999979,0.010000000000000009,0.0,True,634,0.317,0.29697473321910545,0.33772690608583306,9246.5,33.07368856054613,8000.0
weak_gain,win_only_allpairs_gs_pocock,2000,10000,0.009900499999999979,0.010000000000000009,0.0,True,526,0.263,0.2441724933907117,0.28273618702060216,8886.5,52.36228485274492,6000.0
weak_gain,guarded_allpairs_gs_pocock,2000,10000,0.009900499999999979,0.010000000000000009,0.0,True,526,0.263,0.2441724933907117,0.28273618702060216,8891.5,52.02272460185068,6000.0
weak_gain,guarded_allpairs_gs_pocock_simultaneous,2000,10000,0.009900499999999979,0.010000000000000009,0.0,True,525,0.2625,0.24368522688101532,0.28222537057757985,8904.0,51.593526725743416,6000.0
weak_gain,win_only_allpairs_gs_hsd,2000,10000,0.009900499999999979,0.010000000000000009,0.0,True,622,0.311,0.2910913019429493,0.3316333419293642,9239.5,36.88590347273603,8000.0
weak_gain,guarded_allpairs_gs_hsd,2000,10000,0.009900499999999979,0.010000000000000009,0.0,True,622,0.311,0.2910913019429493,0.3316333419293642,9242.0,36.62264326888489,8000.0
weak_gain,guarded_allpairs_gs_hsd_simultaneous,2000,10000,0.009900499999999979,0.010000000000000009,0.0,True,622,0.311,0.2910913019429493,0.3316333419293642,9249.0,36.22153365057863,8000.0
weak_gain,win_only_allpairs_asympcs,2000,10000,0.009900499999999979,0.010000000000000009,0.0,True,232,0.116,0.10269607466146108,0.13077621765054118,9259.5,51.242412853026345,2600.0
weak_gain,guarded_allpairs_asympcs,2000,10000,0.009900499999999979,0.010000000000000009,0.0,True,232,0.116,0.10269607466146108,0.13077621765054118,9271.15,50.31702086521026,2675.0
weak_gain,guarded_allpairs_asympcs_simultaneous,2000,10000,0.009900499999999979,0.010000000000000009,0.0,True,211,0.1055,0.0927847041684807,0.11972784613642784,9377.3,45.795685986782686,3500.0
weak_gain,win_only_disjoint_gs_obf,2000,10000,0.009900499999999979,0.010000000000000009,0.0,True,490,0.245,0.22665152261043398,0.26432617150300497,9451.5,29.41638786459004,8000.0
weak_gain,guarded_disjoint_gs_obf,2000,10000,0.009900499999999979,0.010000000000000009,0.0,True,490,0.245,0.22665152261043398,0.26432617150300497,9451.5,29.41638786459004,8000.0
weak_gain,win_only_disjoint_betting,2000,10000,0.009900499999999979,0.010000000000000009,0.0,True,83,0.0415,0.033602383185357104,0.05115554917155182,9771.1,28.042220757279477,4250.0
weak_gain,guarded_disjoint_betting,2000,10000,0.009900499999999979,0.010000000000000009,0.0,True,83,0.0415,0.033602383185357104,0.05115554917155182,9778.7,26.851664845964276,4250.0
weak_gain,guarded_disjoint_betting_simultaneous,2000,10000,0.009900499999999979,0.010000000000000009,0.0,True,70,0.035,0.027795569156293554,0.04398728481527167,9837.75,21.75721073000857,5075.0
weak_gain,win_only_disjoint_betting_simultaneous,2000,10000,0.009900499999999979,0.010000000000000009,0.0,True,83,0.0415,0.033602383185357104,0.05115554917155182,9771.1,28.042220757279477,4250.0
tie_heavy_null,win_only_allpairs_fixed_wald,2000,10000,-4.946168474795342e-18,0.0,0.0,False,81,0.0405,0.03270494331440327,0.05005682313706816,10000.0,0.0,10000.0
tie_heavy_null,guarded_allpairs_fixed_wald,2000,10000,-4.946168474795342e-18,0.0,0.0,False,81,0.0405,0.03270494331440327,0.05005682313706816,10000.0,0.0,10000.0
tie_heavy_null,win_only_allpairs_gs_obf,2000,10000,-4.946168474795342e-18,0.0,0.0,False,87,0.0435,0.03540128785854411,0.0533489763092398,9898.5,13.023013284182735,8000.0
tie_heavy_null,guarded_allpairs_gs_obf,2000,10000,-4.946168474795342e-18,0.0,0.0,False,87,0.0435,0.03540128785854411,0.0533489763092398,9898.5,13.023013284182735,8000.0
tie_heavy_null,guarded_allpairs_gs_obf_simultaneous,2000,10000,-4.946168474795342e-18,0.0,0.0,False,87,0.0435,0.03540128785854411,0.0533489763092398,9898.5,13.023013284182735,8000.0
tie_heavy_null,win_only_allpairs_gs_pocock,2000,10000,-4.946168474795342e-18,0.0,0.0,False,101,0.0505,0.04173547326167801,0.06098795224416838,9738.5,28.76732304195161,5000.0
tie_heavy_null,guarded_allpairs_gs_pocock,2000,10000,-4.946168474795342e-18,0.0,0.0,False,101,0.0505,0.04173547326167801,0.06098795224416838,9738.5,28.76732304195161,5000.0
tie_heavy_null,guarded_allpairs_gs_pocock_simultaneous,2000,10000,-4.946168474795342e-18,0.0,0.0,False,101,0.0505,0.04173547326167801,0.06098795224416838,9738.5,28.76732304195161,5000.0
tie_heavy_null,win_only_allpairs_gs_hsd,2000,10000,-4.946168474795342e-18,0.0,0.0,False,88,0.044,0.03585182041641652,0.05389652670408614,9891.0,15.509980657628171,8000.0
tie_heavy_null,guarded_allpairs_gs_hsd,2000,10000,-4.946168474795342e-18,0.0,0.0,False,88,0.044,0.03585182041641652,0.05389652670408614,9891.0,15.509980657628171,8000.0
tie_heavy_null,guarded_allpairs_gs_hsd_simultaneous,2000,10000,-4.946168474795342e-18,0.0,0.0,False,88,0.044,0.03585182041641652,0.05389652670408614,9891.0,15.509980657628171,8000.0
tie_heavy_null,win_only_allpairs_asympcs,2000,10000,-4.946168474795342e-18,0.0,0.0,False,40,0.02,0.014721726201265444,0.027118639188737373,9841.55,25.747753275771572,1350.0
tie_heavy_null,guarded_allpairs_asympcs,2000,10000,-4.946168474795342e-18,0.0,0.0,False,40,0.02,0.014721726201265444,0.027118639188737373,9842.675,25.54354218168473,1375.0
