family,domain,model_a,model_b,configuration,cost_relative_tolerance,resource_order,pairing,tasks,bootstrap_replicates,p_win,p_loss,p_tie,net_benefit,nb_ci_low,nb_ci_high,success_diff,success_ci_low,success_ci_high,win_ratio,success_decisive,cost_decisive,steps_decisive,illustrative_NI_margin,pointwise_NI_lower_above_margin,success_win,success_loss,success_net,cost_win,cost_loss,cost_net,steps_win,steps_loss,steps_net
tau2,retail,Claude-3.7,GPT-4.1,cost_tol_10,0.1,cost_steps,off_diagonal,114,10000,0.15862573099415206,0.7412280701754386,0.10014619883040937,-0.5826023391812865,-0.6805555555555555,-0.4788011695906432,0.046052631578947366,-0.017543859649122806,0.1118421052631579,0.21400394477317555,0.2711988304093567,0.6286549707602337,0.0,0.03,True,0.15862573099415206,0.11257309941520467,0.046052631578947366,0.0,0.6286549707602337,-0.6286549707602337,0.0,0.0,0.0
tau2,retail,Claude-3.7,GPT-4.1,cost_tol_20,0.2,cost_steps,off_diagonal,114,10000,0.15862573099415206,0.7412280701754386,0.10014619883040937,-0.5826023391812865,-0.6805555555555555,-0.4788011695906432,0.046052631578947366,-0.017543859649122806,0.1118421052631579,0.21400394477317555,0.2711988304093567,0.6286549707602337,0.0,0.03,True,0.15862573099415206,0.11257309941520467,0.046052631578947366,0.0,0.6286549707602337,-0.6286549707602337,0.0,0.0,0.0
tau2,retail,Claude-3.7,GPT-4.1,steps_before_cost,0.05,steps_cost,off_diagonal,114,10000,0.2931286549707601,0.6067251461988304,0.10014619883040937,-0.3135964912280703,-0.41885964912280715,-0.20614035087719298,0.046052631578947366,-0.017543859649122806,0.1118421052631579,0.48313253012048174,0.2711988304093567,0.3245614035087719,0.3040935672514621,0.03,True,0.15862573099415206,0.11257309941520467,0.046052631578947366,0.0,0.3245614035087719,-0.3245614035087719,0.1345029239766082,0.1695906432748538,-0.035087719298245605
tau2,retail,Claude-3.7,GPT-4.1,paired_seed,0.05,cost_steps,diagonal,114,10000,0.15350877192982457,0.7412280701754386,0.10526315789473684,-0.5877192982456141,-0.6864035087719298,-0.48464912280701755,0.046052631578947366,-0.017543859649122806,0.1118421052631579,0.20710059171597633,0.26096491228070173,0.6337719298245614,0.0,0.03,True,0.15350877192982457,0.1074561403508772,0.046052631578947366,0.0,0.6337719298245614,-0.6337719298245614,0.0,0.0,0.0
tau2,retail,Claude-3.7,GPT-4.1,all_pairs,0.05,cost_steps,all,114,10000,0.15734649122807018,0.7412280701754386,0.10142543859649122,-0.5838815789473685,-0.6814692982456141,-0.47971491228070173,0.046052631578947366,-0.017543859649122806,0.1118421052631579,0.21227810650887574,0.26864035087719296,0.6299342105263158,0.0,0.03,True,0.15734649122807018,0.1112938596491228,0.046052631578947366,0.0,0.6299342105263158,-0.6299342105263158,0.0,0.0,0.0
tau2,retail,o4-mini,Claude-3.7,primary,0.05,cost_steps,off_diagonal,114,10000,0.7149122807017544,0.18713450292397657,0.09795321637426899,0.5277777777777778,0.42324561403508787,0.6293859649122807,-0.07236842105263158,-0.14035087719298245,-0.0043859649122807015,3.820312500000001,0.3019005847953216,0.6001461988304094,0.0,0.03,False,0.11476608187134502,0.18713450292397657,-0.07236842105263158,0.6001461988304094,0.0,0.6001461988304094,0.0,0.0,0.0
tau2,retail,o4-mini,Claude-3.7,cost_tol_0,0.0,cost_steps,off_diagonal,114,10000,0.7149122807017544,0.18713450292397657,0.09795321637426899,0.5277777777777778,0.42324561403508787,0.6293859649122807,-0.07236842105263158,-0.14035087719298245,-0.0043859649122807015,3.820312500000001,0.3019005847953216,0.6001461988304094,0.0,0.03,False,0.11476608187134502,0.18713450292397657,-0.07236842105263158,0.6001461988304094,0.0,0.6001461988304094,0.0,0.0,0.0
tau2,retail,o4-mini,Claude-3.7,cost_tol_10,0.1,cost_steps,off_diagonal,114,10000,0.7149122807017544,0.18713450292397657,0.09795321637426899,0.5277777777777778,0.42324561403508787,0.6293859649122807,-0.07236842105263158,-0.14035087719298245,-0.0043859649122807015,3.820312500000001,0.3019005847953216,0.6001461988304094,0.0,0.03,False,0.11476608187134502,0.18713450292397657,-0.07236842105263158,0.6001461988304094,0.0,0.6001461988304094,0.0,0.0,0.0
tau2,retail,o4-mini,Claude-3.7,cost_tol_20,0.2,cost_steps,off_diagonal,114,10000,0.7149122807017544,0.18713450292397657,0.09795321637426899,0.5277777777777778,0.42324561403508787,0.6293859649122807,-0.07236842105263158,-0.14035087719298245,-0.0043859649122807015,3.820312500000001,0.3019005847953216,0.6001461988304094,0.0,0.03,False,0.11476608187134502,0.18713450292397657,-0.07236842105263158,0.6001461988304094,0.0,0.6001461988304094,0.0,0.0,0.0
tau2,retail,o4-mini,Claude-3.7,steps_before_cost,0.05,steps_cost,off_diagonal,114,10000,0.6535087719298246,0.2485380116959064,0.09795321637426899,0.40497076023391804,0.2982456140350877,0.5095029239766082,-0.07236842105263158,-0.14035087719298245,-0.0043859649122807015,2.629411764705883,0.3019005847953216,0.2880116959064327,0.3121345029239765,0.03,False,0.11476608187134502,0.18713450292397657,-0.07236842105263158,0.2880116959064327,0.0,0.2880116959064327,0.2507309941520468,0.061403508771929814,0.189327485380117
tau2,retail,o4-mini,Claude-3.7,paired_seed,0.05,cost_steps,diagonal,114,10000,0.7149122807017544,0.18859649122807018,0.09649122807017543,0.5263157894736842,0.42105263157894735,0.6293859649122807,-0.07236842105263158,-0.14035087719298245,-0.0043859649122807015,3.7906976744186047,0.3048245614035088,0.5986842105263158,0.0,0.03,False,0.1162280701754386,0.18859649122807018,-0.07236842105263158,0.5986842105263158,0.0,0.5986842105263158,0.0,0.0,0.0
tau2,retail,o4-mini,Claude-3.7,all_pairs,0.05,cost_steps,all,114,10000,0.7149122807017544,0.1875,0.09758771929824561,0.5274122807017544,0.4232456140350877,0.6288377192982456,-0.07236842105263158,-0.14035087719298245,-0.0043859649122807015,3.8128654970760234,0.3026315789473684,0.5997807017543859,0.0,0.03,False,0.11513157894736842,0.1875,-0.07236842105263158,0.5997807017543859,0.0,0.5997807017543859,0.0,0.0,0.0
tau2,telecom,o4-mini,GPT-4.1,primary,0.05,cost_steps,off_diagonal,114,10000,0.3194444444444444,0.19444444444444445,0.48611111111111116,0.12499999999999999,0.03580043859649123,0.21198830409356725,0.07894736842105263,0.013157894736842105,0.14473684210526316,1.6428571428571428,0.2675438596491228,0.22807017543859645,0.01827485380116959,0.03,True,0.17324561403508773,0.09429824561403509,0.07894736842105263,0.14546783625730994,0.08260233918128657,0.06286549707602339,0.0007309941520467836,0.017543859649122806,-0.016812865497076022
tau2,telecom,o4-mini,GPT-4.1,cost_tol_0,0.0,cost_steps,off_diagonal,114,10000,0.3289473684210527,0.18640350877192982,0.48464912280701755,0.1425438596491228,0.054093567251461985,0.22881944444444427,0.07894736842105263,0.013157894736842105,0.14473684210526316,1.7647058823529416,0.2675438596491228,0.24780701754385964,0.0,0.03,True,0.17324561403508773,0.09429824561403509,0.07894736842105263,0.15570175438596492,0.09210526315789473,0.06359649122807016,0.0,0.0,0.0
tau2,telecom,o4-mini,GPT-4.1,cost_tol_10,0.1,cost_steps,off_diagonal,114,10000,0.3062865497076023,0.20540935672514618,0.4883040935672515,0.10087719298245613,0.012408625730994162,0.18932748538011693,0.07894736842105263,0.013157894736842105,0.14473684210526316,1.4911032028469748,0.2675438596491228,0.20321637426900585,0.04093567251461988,0.03,True,0.17324561403508773,0.09429824561403509,0.07894736842105263,0.13230994152046782,0.07090643274853801,0.061403508771929835,0.0007309941520467836,0.04020467836257309,-0.03947368421052631
tau2,telecom,o4-mini,GPT-4.1,cost_tol_20,0.2,cost_steps,off_diagonal,114,10000,0.2887426900584795,0.2171052631578948,0.4941520467836258,0.07163742690058479,-0.019005847953216377,0.16081871345029242,0.07894736842105263,0.013157894736842105,0.14473684210526316,1.3299663299663296,0.2675438596491228,0.16008771929824558,0.07821637426900584,0.03,True,0.17324561403508773,0.09429824561403509,0.07894736842105263,0.11257309941520469,0.04751461988304094,0.06505847953216373,0.0029239766081871343,0.0752923976608187,-0.07236842105263158
tau2,telecom,o4-mini,GPT-4.1,steps_before_cost,0.05,steps_cost,off_diagonal,114,10000,0.2726608187134503,0.24122807017543862,0.48611111111111116,0.03143274853801168,-0.06286549707602337,0.12426900584795321,0.07894736842105263,0.013157894736842105,0.14473684210526316,1.1303030303030304,0.2675438596491228,0.017543859649122806,0.22880116959064328,0.03,True,0.17324561403508773,0.09429824561403509,0.07894736842105263,0.014619883040935673,0.0029239766081871343,0.011695906432748537,0.0847953216374269,0.14400584795321636,-0.059210526315789484
tau2,telecom,o4-mini,GPT-4.1,paired_seed,0.05,cost_steps,diagonal,114,10000,0.3201754385964912,0.19078947368421054,0.48903508771929827,0.12938596491228072,0.039473684210526314,0.21710526315789475,0.07894736842105263,0.013157894736842105,0.14473684210526316,1.6781609195402298,0.2631578947368421,0.23684210526315788,0.010964912280701754,0.03,True,0.17105263157894737,0.09210526315789473,0.07894736842105263,0.14912280701754385,0.08771929824561403,0.06140350877192982,0.0,0.010964912280701754,-0.010964912280701754
tau2,telecom,o4-mini,GPT-4.1,all_pairs,0.05,cost_steps,all,114,10000,0.3196271929824561,0.19353070175438597,0.4868421052631579,0.12609649122807018,0.03782894736842105,0.21217105263157895,0.07894736842105263,0.013157894736842105,0.14473684210526316,1.651558073654391,0.26644736842105265,0.23026315789473684,0.01644736842105263,0.03,True,0.17269736842105263,0.09375,0.07894736842105263,0.14638157894736842,0.08388157894736842,0.0625,0.0005482456140350877,0.015899122807017545,-0.015350877192982455
tau2,telecom,Claude-3.7,GPT-4.1,primary,0.05,cost_steps,off_diagonal,114,10000,0.22733918128654973,0.3399122807017544,0.4327485380116959,-0.11257309941520469,-0.21637426900584797,-0.01094663742690084,0.1513157894736842,0.08771929824561403,0.21710526315789475,0.6688172043010754,0.29897660818713445,0.2675438596491228,0.0007309941520467836,0.03,True,0.22514619883040937,0.07383040935672516,0.1513157894736842,0.0014619883040935672,0.26608187134502925,-0.26461988304093564,0.0007309941520467836,0.0,0.0007309941520467836
tau2,telecom,Claude-3.7,GPT-4.1,cost_tol_0,0.0,cost_steps,off_diagonal,114,10000,0.22733918128654973,0.3399122807017544,0.4327485380116959,-0.11257309941520469,-0.21637426900584797,-0.01094663742690084,0.1513157894736842,0.08771929824561403,0.21710526315789475,0.6688172043010754,0.29897660818713445,0.26827485380116955,0.0,0.03,True,0.22514619883040937,0.07383040935672516,0.1513157894736842,0.0021929824561403508,0.26608187134502925,-0.2638888888888889,0.0,0.0,0.0
tau2,telecom,Claude-3.7,GPT-4.1,cost_tol_10,0.1,cost_steps,off_diagonal,114,10000,0.22733918128654973,0.3399122807017544,0.4327485380116959,-0.11257309941520469,-0.21637426900584797,-0.01094663742690084,0.1513157894736842,0.08771929824561403,0.21710526315789475,0.6688172043010754,0.29897660818713445,0.2675438596491228,0.0007309941520467836,0.03,True,0.22514619883040937,0.07383040935672516,0.1513157894736842,0.0014619883040935672,0.26608187134502925,-0.26461988304093564,0.0007309941520467836,0.0,0.0007309941520467836
tau2,telecom,Claude-3.7,GPT-4.1,cost_tol_20,0.2,cost_steps,off_diagonal,114,10000,0.22733918128654973,0.3399122807017544,0.4327485380116959,-0.11257309941520469,-0.21637426900584797,-0.01094663742690084,0.1513157894736842,0.08771929824561403,0.21710526315789475,0.6688172043010754,0.29897660818713445,0.26608187134502925,0.0021929824561403508,0.03,True,0.22514619883040937,0.07383040935672516,0.1513157894736842,0.0,0.26608187134502925,-0.26608187134502925,0.0021929824561403508,0.0,0.0021929824561403508
tau2,telecom,Claude-3.7,GPT-4.1,steps_before_cost,0.05,steps_cost,off_diagonal,114,10000,0.28508771929824567,0.28216374269005845,0.4327485380116959,0.002923976608187158,-0.09283625730994152,0.0964912280701754,0.1513157894736842,0.08771929824561403,0.21710526315789475,1.0103626943005184,0.29897660818713445,0.09356725146198831,0.17470760233918134,0.03,True,0.22514619883040937,0.07383040935672516,0.1513157894736842,0.0,0.09356725146198831,-0.09356725146198831,0.059941520467836254,0.114766081871345,-0.05482456140350876
tau2,telecom,Claude-3.7,GPT-4.1,paired_seed,0.05,cost_steps,diagonal,114,10000,0.22587719298245615,0.3399122807017544,0.4342105263157895,-0.11403508771929824,-0.21710526315789475,-0.010964912280701754,0.1513157894736842,0.08771929824561403,0.21710526315789475,0.6645161290322581,0.29605263157894735,0.26973684210526316,0.0,0.03,True,0.2236842105263158,0.07236842105263158,0.1513157894736842,0.0021929824561403508,0.2675438596491228,-0.26535087719298245,0.0,0.0,0.0
tau2,telecom,Claude-3.7,GPT-4.1,all_pairs,0.05,cost_steps,all,114,10000,0.22697368421052633,0.3399122807017544,0.4331140350877193,-0.11293859649122807,-0.21710526315789475,-0.010416666666666666,0.1513157894736842,0.08771929824561403,0.21710526315789475,0.667741935483871,0.2982456140350877,0.2680921052631579,0.0005482456140350877,0.03,True,0.22478070175438597,0.07346491228070176,0.1513157894736842,0.001644736842105263,0.26644736842105265,-0.26480263157894735,0.0005482456140350877,0.0,0.0005482456140350877
tau2,telecom,o4-mini,Claude-3.7,primary,0.05,cost_steps,off_diagonal,114,10000,0.42105263157894735,0.162280701754386,0.41666666666666674,0.25877192982456143,0.16080043859649118,0.3538011695906433,-0.07236842105263158,-0.12719298245614036,-0.017543859649122806,2.594594594594594,0.2521929824561403,0.33114035087719296,0.0,0.03,False,0.08991228070175439,0.162280701754386,-0.07236842105263158,0.33114035087719296,0.0,0.33114035087719296,0.0,0.0,0.0
tau2,telecom,o4-mini,Claude-3.7,cost_tol_0,0.0,cost_steps,off_diagonal,114,10000,0.42105263157894735,0.162280701754386,0.41666666666666674,0.25877192982456143,0.16080043859649118,0.3538011695906433,-0.07236842105263158,-0.12719298245614036,-0.017543859649122806,2.594594594594594,0.2521929824561403,0.33114035087719296,0.0,0.03,False,0.08991228070175439,0.162280701754386,-0.07236842105263158,0.33114035087719296,0.0,0.33114035087719296,0.0,0.0,0.0
