pair_index,n,z,decisive_tier,success_diff,n_win,n_loss,n_tie,n_succ_pos,n_succ_neg,nb_hat,succ_diff_hat,log_e_win,log_e_gate,log_e_harm,e_win,e_gate,e_harm,win_cross,gate_cross,deploy,harm
75,75,-1,1,0,11,57,7,9,14,-0.6133333333333333,-0.06666666666666667,-0.6531031684993698,-0.27057531597618123,13.714833577498618,0.5204282917136508,0.7629404362285545,904225.0680772217,False,False,False,True
76,76,1,0,1,12,57,7,10,14,-0.5921052631578947,-0.05263157894736842,-0.6488373435056043,-0.24647539474117863,12.676859525709377,0.5226530896534661,0.781550591555011,320250.7384814658,False,False,False,True
77,77,-1,1,0,12,58,7,10,14,-0.5974025974025974,-0.05194805194805195,-0.6531910894788329,-0.24569289444319953,13.157421168840989,0.5203825371599251,0.7821623944625498,517839.7802399343,False,False,False,True
78,78,1,0,1,13,58,7,11,14,-0.5769230769230769,-0.038461538461538464,-0.6489283788736642,-0.21908671940704938,12.181904860274532,0.5226055119027437,0.8032520575910633,195224.3834303789,False,False,False,True
79,79,-1,1,0,13,59,7,11,14,-0.5822784810126582,-0.0379746835443038,-0.6532788141846932,-0.21821659260281567,12.65026833275727,0.5203368887571935,0.8039512929045064,311847.1156512547,False,False,False,True
80,80,-1,1,0,13,60,7,11,14,-0.5875,-0.0375,-0.6575566462801445,-0.21734346570022556,13.122196762486434,0.5181157291751345,0.8046535509422922,499916.6994807998,False,False,False,True
81,81,1,0,1,14,60,7,12,14,-0.5679012345679012,-0.024691358024691357,-0.6533663439914927,-0.18769328720821132,12.18391645144613,0.5202913457630638,0.8288688929418647,195617.49032919286,False,False,False,True
82,82,-1,1,0,14,61,7,12,14,-0.573170731707317,-0.024390243902439025,-0.6576410630094038,-0.18671593550794974,12.645068075258807,0.5180719933859418,0.8296793853672341,310229.6396406638,False,False,False,True
83,83,-1,1,0,14,62,7,12,14,-0.5783132530120482,-0.024096385542168676,-0.6618460536948443,-0.1857349885208457,13.109603334861054,0.5158980793268029,0.8304936561735247,493660.5108195599,False,False,False,True
84,84,-1,0,-1,14,63,7,12,15,-0.5833333333333334,-0.03571428571428571,-0.6659838582831461,-0.21810311530114657,13.577442223443791,0.5137678042574914,0.8040425283043742,788148.8314810875,False,False,False,True
85,85,-1,0,-1,14,64,7,12,16,-0.5882352941176471,-0.047058823529411764,-0.6700568796621429,-0.24641467224015567,14.048516803117485,0.511679472803271,0.7815980507025108,1262389.3631176278,False,False,False,True
86,86,0,-1,0,14,64,8,12,16,-0.5813953488372093,-0.046511627906976744,-0.6700568796621429,-0.2456487133016667,14.048516803117485,0.511679472803271,0.7821969520533925,1262389.3631176278,False,False,False,True
87,87,-1,1,0,14,65,8,12,16,-0.5862068965517241,-0.04597701149425287,-0.6740673914213748,-0.24488038317007632,14.522770519045098,0.5096314857437478,0.7827981684772639,2028425.6718810825,False,False,False,True
88,88,-1,1,0,14,66,8,12,16,-0.5909090909090909,-0.045454545454545456,-0.6780175470116561,-0.244109669569474,15.00015741144207,0.5076223329269917,0.7834017142228178,3269531.993713435,False,False,False,True
89,89,-1,1,0,14,67,8,12,16,-0.5955056179775281,-0.0449438202247191,-0.681909388107663,-0.2433365601449946,15.480641218178794,0.5056505868204614,0.7840076036504718,5286363.9220821755,False,False,False,True
90,90,-1,1,0,14,68,8,12,16,-0.6,-0.044444444444444446,-0.6857448522551626,-0.24256104246225751,15.9641943654649,0.5037148966316689,0.7846158512333964,8573566.503730208,False,False,False,True
91,91,0,-1,0,14,68,9,12,16,-0.5934065934065934,-0.04395604395604396,-0.6857448522551626,-0.24178310400680258,15.9641943654649,0.5037148966316689,0.7852264715585516,8573566.503730208,False,False,False,True
92,92,-1,1,0,14,69,9,12,16,-0.5978260869565217,-0.043478260869565216,-0.6895257798749599,-0.24100273218352042,16.45079684885982,0.50181398293956,0.7858394793277373,13947304.878043568,False,False,False,True
93,93,-1,1,0,14,70,9,12,16,-0.6021505376344086,-0.043010752688172046,-0.6932539206873019,-0.2402199143160808,16.94043501174128,0.49994663278458407,0.7864548893586514,22758175.73436301,False,False,False,True
94,94,1,0,1,15,70,9,13,16,-0.5851063829787234,-0.031914893617021274,-0.6895903727116899,-0.21360548674760516,15.927984344515748,0.5017815703977114,0.8076669574962719,8268670.931864703,False,False,False,True
95,95,1,0,1,16,70,9,14,16,-0.5684210526315789,-0.021052631578947368,-0.6858780103198026,-0.1842280447824045,14.975138762837735,0.503647827396407,0.8317461068378399,3188747.4949176363,False,False,False,True
96,96,-1,0,-1,16,71,9,14,17,-0.5729166666666666,-0.03125,-0.6896548619986138,-0.21593050034907657,15.44226294106741,0.5017492119054442,0.8057913021416736,5087326.17497099,False,False,False,True
97,97,-1,1,0,16,72,9,14,17,-0.5773195876288659,-0.030927835051546393,-0.6933791183007725,-0.21507975460105078,15.91206963695677,0.4998840445773256,0.8064771173515893,8138119.055033831,False,False,False,True
98,98,-1,1,0,16,73,9,14,17,-0.5816326530612245,-0.030612244897959183,-0.6970524322043397,-0.21422624356905873,16.384512095006517,0.49805118196699993,0.8071657483035508,13052785.209895592,False,False,False,True
99,99,-1,1,0,16,74,9,14,17,-0.5858585858585859,-0.030303030303030304,-0.7006763782374601,-0.21336995274333237,16.85955352657416,0.4962495378640663,0.8078572129338228,20989933.56208161,False,False,False,True
100,100,1,0,1,17,74,9,15,17,-0.57,-0.02,-0.697113041866444,-0.1842890002158315,15.912231845832588,0.49802099616793505,0.8316954089385683,8139439.237246759,False,False,False,True
101,101,-1,1,0,17,75,9,15,17,-0.5742574257425742,-0.019801980198019802,-0.7007352276970966,-0.18333615763118605,16.379157357305324,0.49622033470622157,0.8324882614134733,12983077.76792168,False,False,False,True
102,102,1,0,1,18,75,9,16,17,-0.5588235294117647,-0.00980392156862745,-0.6971735610201106,-0.1510209077294551,15.4653700411632,0.4979908572707382,0.859829721384082,5206248.210434698,False,False,False,True
103,103,-1,1,0,18,76,9,16,17,-0.5631067961165048,-0.009708737864077669,-0.7007939919820325,-0.14995457950054147,15.925094678365936,0.49619117552984937,0.8607470710990781,8244811.722546091,False,False,False,True
104,104,-1,0,-1,18,77,9,16,18,-0.5673076923076923,-0.019230769230769232,-0.7043667127746445,-0.18519057785427862,16.387253561232814,0.4944215860068671,0.8309459088728886,13088618.074559532,False,False,False,True
105,105,-1,1,0,18,78,9,16,18,-0.5714285714285714,-0.01904761904761905,-0.7078931461089844,-0.18425171041313515,16.85177516522308,0.49268111188141417,0.8317264232745267,20827299.606920935,False,False,False,True
106,106,-1,0,-1,18,79,9,16,19,-0.5754716981132075,-0.02830188679245283,-0.7113746505725551,-0.2151993465551132,17.318596706962918,0.4909688227918724,0.8063806749442016,33217809.040957652,False,False,False,True
107,107,-1,1,0,18,80,9,16,19,-0.5794392523364486,-0.028037383177570093,-0.714812524448516,-0.21436378982823978,17.787664296753626,0.4892838319546472,0.8070547333093562,53098768.65402862,False,False,False,True
108,108,-1,1,0,18,81,9,16,19,-0.5833333333333334,-0.027777777777777776,-0.7182080092545511,-0.21352561736092435,18.258933025763483,0.48762529350194905,0.8077314679369799,85065578.24534774,False,False,False,True
109,109,-1,0,-1,18,82,9,16,20,-0.5871559633027523,-0.03669724770642202,-0.7215622930257024,-0.241099653458134,18.732366982880933,0.48599240001861144,0.7857633184546233,136572611.4108459,False,False,False,True
110,110,-1,1,0,18,83,9,16,20,-0.5909090909090909,-0.03636363636363636,-0.7248765133630539,-0.24034674664213806,19.207939196374614,0.48438438026044556,0.7863551477810568,219736398.30141488,False,False,False,True
